영단어,한국단어,설명
Officer,해기사,국내법 또는 규정에 따라 그렇게 지정되거나 법령에 따라 지정되지 않으면 단체협약 또는 관습에 의하여 지정된 선장 이외 선원의 일원을 말함
Rating,부원,선장 또는 해기사가 아닌 성원의 일원을 말함 Near-coastal
Voyages,연안항해,당사국에 의하여 정의된 그 당사국의 근접 수역의 항해를 지칭
Oil Tanker,유조선,석유 또는 석유제품을 선적하여 운송할 목적으로 건조되어 사용되는 선박을 말함
Chemical Tanker,케미컬탱커,국제산적케미칼코드(IBC Code)제 17장에 열거된 액체화학 물질의 산적운송을 위하여 건조 또는 개조되어 사용되는 선박을 말함 Liquefied Gas
Tanker,액화가스탱커,"국제가스운반선코드(IGC Code)제 19장에 열거된 모든 액화가스 또는 기타제품의 산적운송을 위하여 건조 또는 개조되어 사용되는 선박을 말함 Ro-Ro Passenger ship 로로 여객선 Roll on/Roll off Vessel로 차나 트럭으로 화물을 선박 안으로 바로 실었다 나를 수 있는 여객선을 일반적으로 말하며, 로로 화물구역 또는 1974 SOLAS 협약에 정의된 특별한 종류의 구역이 있는 여객선을 말함"
Seagoing service,승무 경력,증명서 또는 기타 자격의 발급에 관련되는 선내에서의 복무를 말함
STCW-F,협약,"STCW-F Convention 어선원의 훈련, 자격증명 및 당직근무의 기준 에 관한 국제협약 국제해사기구(IMO)의 제16차 회기의 총회와 해사안전위원회(MSC) 제62차 회기 및 후속 국제해사기구 제70차 이사회와 제18차 회기의 총회에서 내린 결정에 따라서 어선원의 훈련·자격증명 및 당직근무의 기준에 관한 국제회의가 국제노동사무소의 사무총장과 협의하여 관련 협약을 검토하고 채택하였으며, 이 협약은 전장 24m 이상의 항해 어선들에 승선하는 선원에 대한 자격증명 및 최소 훈련요건을 정하고 있음 Torremolinos Protocol of International Convention for the Safety of Fishing"
Vessels,토레몰리노스 의정서,"어선에 대하여 국제적인 통일된 기준을 정하고자 1977년 스페인 토레몰리노스에서 45개국 및 2개의 국제연합전문기구에서 대표자가 참석한 국제회의에서 “1997년 어선안전을 위한 토레몰리노스 국제협약”을 채택함 이 협약은 길이 24m 이상의 어선 척수의 50% 이상을 보유하고 있는 15개국 이상의 나라가 비준한 후 12개월 이후에 발효되게 되어있었지만, 다수의 어선을 보유한 아시아 국가들의 협약 미 비준으로 인하여 발효되지 못하였음. 이에 국제해사기구에서 동 협약 발효 어려움을 인식하고 협약의 대상 선박 적용 기준을 완화하여 1993년 4월 “토레몰리노스 어선안전협약의정서”를 채택함"
Limited Waters,제한 수역,어선의 선장과 해기사의 자격증명 기준을 그 정해진 한계 밖 수역에 승무하는 것보다 낮은 수준에 설정할 수 있는 안정성이 있다고 생각되는 수역으로 당해 주관청이 정한 당사국 주변의 수역을 지칭
Unlimited Waters,무제한 수역,제한 수역 이외의 수역을 말함
GT equivalence,동등 톤수,"현재 협약에 적용 기준은 어선의 길이인 미터로 되어있으나, 각국 어선의 특성이 달라 협약 비준에 어려움이 있어 그 길이에 상응하는 톤수를 정함 ∙ 길이 24ｍ = 총톤수 300t ∙ 길이 45ｍ = 총톤수 950t"
Fishing deck hand,어선의 갑판부원,어선에서의 갑판부원을 칭함
Exemption,면제 규정,"협약 제3장의 “모든 어선원을 위한 기초 훈련 및 선상안전친숙화 훈련의 기준”에서 제한 수역에서 조업하는 [길이 24ｍ] 및/또는 미만의 어선의 경우, 어선의 규모와 항해 거리나 특성상 본 절의 전체 요건을 적용하는 것이 불합리하거나 실행 불가능한 것으로 간주한다면, 주관청은 선상 인명, 선박 및 재산의 안전과 해양환경 보호를 염두에 두고, 그러한 어선 또는 어선 급에 종사하는 어선원에 대해 그 요건의 일부를 면제할 수 있도록 하는 규정을 말함 선원 전자증서 Electronic certificate 전자증서 주관청에 의해 승인되고 호환성이 보장된 전자 형식의 증서를 의미함"
Electronic signature,전자서명,"전자증서에 포함되는 전자 형식의 데이터를 의미하며, 발급자의 인증방법 및 전자데이터의 내용이 포함된 형태를 의미함"
Security assurance,보안 인증,"전자증서 확인 또는 다른 증서 교환은 발급기관의 승인이 필요하며, 사기 및 보안 침해로부터 데이터를 보호하기 위한 조치임 Unique tracking number 고유번호 전자증서의 일련의 숫자, 문자 및/또는 기호를 의미함. 주관청 및 그와 같은 기관에 의해 승인된 전자 인증서를 식별하기 위한 번호"
Physical location,데이터 저장위치,"전자증서의 물리적 저장소(위치)를 말함. 선박의 하드 드라이버와 같은 저장장치 또는 원격데이터 소스(서버)를 의미함. 전자증서에 포함된 개인 정보에 접근할 수 있어야 하나, 발급기관의 개인정보 보호법에 접촉되지 않는 범위를 의미함 Electro-Technical officer 전자기관사 STCW Code의 섹션A-III/6에 따라 상선의 항해 장비 및 갑판 기기를 포함한 전기·전자 및 자동제어 설비·시스템의 유지·점검· 보수관리·수리 등의 업무를 수행하는 선박직원을 의미"
High Voltage,고전압,"발전, 배전 또는 변압의 전압이 1000V를 초과하는 AC(교류) 또는 DC(직류)를 통칭하여 고전압이라고 표현 항만국통제(PSC) PSC 항만국통제 PSC(Port State Control), 외국 선박에 의한 해양사고 및 해양오염을 예방하기 위해 우리나라 항만에 입항한 외국 선박이 안전 관련 국제협약을 준수하고 있는지를 확인하는 선박 점검 활동 선박을 점검하여 국제안전기준에 미달하는 결함이 있는 선박은 결함 사항을 바로잡도록 조치하고, 만약 인명안전 및 해양오염에 영향을 미칠 수 있는 중대한 결함 사항이 있을 경우는 선박에 출항 정지 명령을 하여 결함 사항이 시정될 때까지 선박의 운항을 재개하지 못하도록 함. 항만국 통제는 아태지역, 유럽 지역 등 전 세계 지역별 협력체를 구성하여 국제안전기준을 준수하지 않는 기준 미달 선박의 지역 내 입항을 제재 HSSC 검사 및 증서조화제도 HSSC(Harmonized System of Survey and Certification), 협약에서 중복하여 규정하는 불필요한 규제를 제거하고 통일된 증서 양식을 통해 일원화된 검사 수행 및 증서발급을 위한 제도 CIC 집중점검제도 CIC(Concentrated Inspection Campaign), 항만국 통제 검사 시 발견되는 국제협약 기준 미달선 퇴치를 위해 선박의 구조, 설비 중 특정 항목과 관련하여 특정 기간 국가가 공동으로 집중적으로 점검하는 제도임 PSCO 항만국통제관 PSCO(Port State Control Officer), 항만국통제(PSC) 검사를 수행할 수 있는 권한을 부여받은 항만 당국의 점검관으로 전 세계적으로 통상 항만 당국의 공무원이 수행하고 있음. 우리나라의 경우 지방해양수산청에서 PSC 업무를 담당함"
Detention,출항정지,"항만국 통제 출항정지(Detention)는 외국적 선박에 대하여 항만국이 안전성을 점검하는 항만국 통제 점검 시, 발견한 중대결함 사항에 대하여 선박의 안전이 확보될 때까지 출항을 정지시키는 항만국이 취하는 간섭조치를 의미함"
Clear grounds,명백한 근거,"선박과 그 설비 또는 승무원이 관련 협약 요건에 일치하지 않거나, 선장 또는 승무원이 선박의 안전, 해상보안 및 해양오염방지와 관련된 필수적인 절차에 익숙하지 않다는 명백한 위반의 증거"
ISM Code(International Safety Management Code),해양사고 대부분이 선박 자체의 결함보다는 인적과실 기인하여,"발생하고 있음. IMO 차원에서 해상안전, 해양사고방지 및 해양환경 보호를 위한 시스템을 개발하여 국제적인 관리기준인 국제안전경영 코드(ISM Code)를 제정하였으며 이 코드는 1998년 7월 1일부터 국제적으로 발효됨 RO 대행기관 RO(Recognized Organizations), 주관청이 대한민국 선박 및 국적취득조건부나용선 등 대한민국 선박과 동등한 자격의 외국 선박을 대상으로 선박의 검사업무(검사 및 증서발급 등에 관한 업무)를 대행기관이 주관청을 대행하여 시행 SMS 안전관리체계"
"SMS(Safety Management System), ISM Code",규정에 따라,해운회사에서 시행하는 자체적인 안전경영시스템을 지칭
Marine Incident,해양사고 / 해양사건,"‘해양사고(Marine Casualty)’는 어떤 사건의 결과로서 인명 사고 및 실종, 선박의 좌초 및 중대 손상 등을 포함한 선박과 인명의 안전을 심각하게 위협하는 상황을 지칭함. ‘해양사건(Marine Incident)’는 선박, 선박 승무원 또는 기타의 자의 인명과 환경안전을 저해하거나 저해할 수 있는 선박의 운용과 직접 관련된 어떠한 결과 또는 사고의 결과로서 해양사고를 제외한 것을 지칭함 NIR 신규점검제도 NIR(New Inspection Regime), 개별 선박의 안전관리등급을 3단계(High·Standard·Low Risk)로 나누고 등급에 따라 점검 주기를 차별화하는 방식으로 Paris Mou 및 아·태 지역 항만국 통제 협력체(Tokyo-MOU)에서 도입한 제도"
Inspection,점검,"증서 및 서류의 유효성과 선박의 상태, 설비 및 승무원의 전반적인 상태를 확인하기 위해 선박에 승선하여 직접 확인하는 활동 Stoppage of an operation 작업 중지 어떠한 결함으로 작업의 계속이 복합적으로 위험을 끼치는 것을 우려하여, 선박이 작업을 지속하지 못하도록 하는 공식적 금지 조치"
Deficiency,결함,"항만국통제 검사에서 결함이란, 인증검사 중 확인된 사항으로서 선원 근로관계 법령 및 해사 노동협약(MLC) 요건을 충족하고 있지 못하다는 것을 보여주는 객관적 증거가 발견된 경우를 지칭함 PSC White List PSC Gray List"
PSC Black List,항만국통제 화이트리스트,"항만국통제 그레이리스트 항만국통제 블랙리스트 항만국통제 기준 이행 여부에 따라 기항하는 선박의 선적국을 화이트리스트, 그레이리스트, 블랙리스트로 구분함. 블랙리스트 국가는 항만국통제 기준을 가장 많이 위반한 국가임. 2015년, 우리나라는 Paris MoU 평가에 의거 화이트리스트에서 그레이리스트로 단계가 하락된 이력이 있음."
Observation,관찰사항,"항만국통제 검사에서 현재는 결함이 아니나 별도의 조치가 취해지지 않으면 가까운 장래에 결함(Deficiency)으로 발전될 가능성을 내포하는 사안을 지칭함. 또는, 선원 근로관계 법령 및 해사 노동협약(MLC)의 요건대로 시행하고 있으나 비효율적이거나 불합리하다고 판단되는 사안을 칭함 Sub-Standard"
Vessel,기준미달선박,"항만국통제 검사 결과에 따라 해상안전, 해양오염 방지 그리고 선원 근로환경 측면에서 국제협약 차원의 요건을 만족시키지 못해 일정 횟수 이상의 출항 정지(Detention)가 결정된 선박 회원국감사(IMSAS) CASR 통합감사 요약보고서 CASR(Consolidated Audit Summary Reports), 국제해사기구(IMO) 차원에서 2016년부터 의무적으로 시행되는 회원국 감사의 분석 결과를 보고서 형태로 제공하고 있음 VIMSAS 자발적 회원국감사 VIMSAS (Voluntary IMO Member State Audit Scheme), 는 SOLAS, MARPOL, COLREG, LL, STCW 및 Tonnage 협약을 수용한 IMO 회원국에 대해 동 협약 들의 회원국 적용 상태를 점검하기 위해 시작되었음. VIMSAS를 통해 2006년부터 2015년 10월까지 75개 IMO 회원국이 자발적으로 감사를 받았고 대한민국은 2007년 4월 9일부터 16일 사이에 관련 수감을 한 이력이 있음. 이후 VIMSAS는 해사안전위원회 제91차 회의와 해양환경보호위원회 제64차 회의를 통해 2016년 1월 1일부터 강제적 회원국감사제도(IMSAS)로 변경 적용됨 Self-Assessment of Flag State"
Performance,기국자체평가제도,"VIMSAS 이전의 검사 제도로서, 개발도상국의 불성실한 국제협약 이행과 관련하여 IMO 차원에서 기술협력 자금을 활용하여 협약이행 기반을 만들어 주기 위한 활동의 일환임 CSD 지속개발위원회 CSD (Commission on Sustainable Development) 1992년 6월 리우 UN 환경개발 회의(UNCED)에서 지속개발위원회(CSD) 설치를 권고하여 제47차 국제연합 총회 시(1992년 12월) 국제 연합 경제 사회 이사회 산하에 지속 개발 위원회(CSD) 설치를 결의함에 따라 1993년 2월 국제 연합 경제 사회 이사회 산하 기구로 발족한 위원회임. 특히 재정지원 및 환경기술 이전 분야 이행 사항 중점검토, 이행에 관한 각종 보고서 및 자료 심의 등을 주요 업무로 수행하고 있음"
Observations,부적합사항 / 발견사항 / 관찰사항,"회원국감사(IMSAS)를 통해 시정조치가 필요한 사항을 그 중대성에 따라 부적합사항(Non-Conformity), 발견사항(Findings) 그리고 관찰사항(Observations)으로 구분함 Delegation of"
Authority,권한 위임,일반적으로 권한의 귀속 자체 변경은 법적 근거가 필요함. 권한 대리와 주로 비교하여 설명되는데 권한 대리는 귀속 자체를 변경하지 않고 법적 근거가 필요 없는 행위로서 권한 위임과는 근본적으로 다름. IMSAS 수검에서는 정부의 권한을 위임받아 대행기관에서 검사를 수행할 때 동 용어를 사용함
Flag State Control,기국 통제,"유엔(UN) 산하 전문기구인 국제해사기구(IMO)에서는 선박, 선원의 안전과 환경보호를 위한 각종 국제 해사 협약을 채택 시행하고 있으며, 선박의 기국(Flag State)은 자국의 선박이 국제협약에 정하는 기준을 준수하도록 관리 및 통제하여야 할 의무가 있음"
Investigator,검사관 / 검사원 / 심사관 / 사고조사관,"국내법에서는 선박안전법(제76조) 및 동법 시행규칙(제97조, 제97조의2), 해사안전법 시행령(제18조), 해양사고의 조사 및 심판에 관한 법률(제16조의2)에서 검사관(검사원)/ 심사관/ 사고조사관의 채용기준에 대한 사항을 규정하며, 이를 통해 기국 차원의 검사 및 심사를 진행하도록 함"
Enforcement,집행,"일반적으로 이행(Implementation)과 비교하여 설명되는데, 이행은 자국 또는 당국 스스로 규정된 규칙을 시행되도록 권고하는 의미이며, 집행(Enforcement)은 좀 더 강제적으로 여러 수단을 동원하여 규칙을 시행되도록 권고하는 것임"
III,코드,III Code
IMO,협약이행코드,"국제해사기구(IMO) 창설 이래 해상안전과 해양오염방지를 위한 많은 국제협약 코드, 결의서 등을 채택하고 있음. 그렇지만 지속해서 발생하는 해양사고 관련, 근본적인 문제로써 개발한 IMO 협약을 회원국이 완전하며 효과적으로 준수하지 못한 점이 지적되어 좀 더 효과적으로 협약을 이행할 수 있는 규정을 코드로써 개발"
Flag State Surveyor,기국 검사관,"기국은 안전 및 해양오염 방지와 관련된 업무를 관리, 수행 및 검증하는 모든 인원에 대한 책임 및 권한을 지니고 있음. 이에 따라 기국은 국제규정에 따른 선박과 회사에 대한 검사를 시행해야 함 Flag State investigation 기국 조사 해양안전 조사는 사고 관련 분야에 대해 적절한 자격이 있고 지식이 많은 공정하고 객관적인 조사관에 의해 수행되어야 하며, 기국은 사건/사고의 위치와 관계없이 기국 차원에서 자격 있는 조사관을 파견하여야 함"
Coastal State,연안국,"연안국이란 기본적으로 해안선을 가진 국가를 지칭하며, 선박 운항에 따라 선박이 운항 중 다른 국가의 영해에 진입하였을 때 선박이 위치한 해역을 담당하는 해당 국가가 연안국이 됨"
Port State,항만국,"항만국이란 기본적으로 항만을 지닌 국가를 의미하며, 항만국은 다양한 국제협약 하에 특정 권리와 의무를 지님. 또한, 선박·항만이 어떤 권리를 행사하는 데 관련 국제협약에 따라 항만국에 추가적인 의무가 부과될 수 있음"
Party,당사국,"특정 협약을 체결, 가입 및 비준한 국가. 그리고, 국제간의 분쟁, 교역 등의 사건 및 조약에 직접 관계가 있거나 관계한 국가를 의미함"
Flag State,기국,"기국은 선박의 국적 국가를 지칭하며, 상선의 국적은 등록으로 결정되며, 국가마다 국적 부여의 조건은 스스로 결정하게 되어있음"
Jurisdiction,관할권,"국가가 갖는 일종의 주권이며 권력이 작용하는 일정 범위의 사람, 재산 및 사실에 관한 권능을 의미함. 통상적으로 일국의 관할권은 통치력이 적용되는 장소 차원의 범위를 일컬음"
Administration,주관청,"그 선박의 국기를 게양할 권리를 가진 당사국의 정부를 지칭함 Principle of the exclusivity of the flag State 기국주의 선박의 기국(Flag State) 관할권에 따른다는 견해로서, 특히 공해에서의 선박에 대한 것을 의미함. 국제법에 따라 정해진 특별한 경우를 제외하고 공해에서의 선박은 그 국기(Flag)를 달고 있는 국가의 권력 이외의 권력에는 따르지 않는다는 원칙임 Non-exhaustive List of obligations 의무사항 목록 IMO 총회 결의서 Res. A. 1105(29)에 따라 IMO 협약이행(III) 코드 하에 의무적으로 준수해야 할 IMO 협약(Instruments) 목록 FSA 공식안전성평가 FSA (Formal Safety Assessment), IMO가 원자력 발전소를 비롯한 육상산업 분야에서 사용하던 위험분석(risk analysis)을 해사 산업 분야에 적용할 때 도입한 이름으로 해상에서의 인명의 안전과 해양환경 보호하기 위하여 위험성 평가, 비용-이익 평가 등을 사용하는 조직적이고 체계적인 안전평가 체제 EQUASIS 유럽선박정보시스템 선박의 안전과 품질에 관한 투명성 정보(PSC, 선급 등 통합정보)를 보장하기 위한 비영리 정보 데이터베이스 시스템임. 감독위원회, 편집위원회, 운영부 그리고 기술부로 구성되며 우리나라는 2009년부터 참여. 회원국은 대한민국, 브라질, 캐나다, 프랑스, 영국, 노르웨이, 일본, 미국, 스페인, EMSA임 홈페이지: http://www.equasis.org VGFSP 자발적 기국이행 지침 VGFSP(Voluntary Guidelines for Flag State Performance), 식량농업기구(FAO) 차원에서 개발한 지침으로써 IUU 어업 활동 방지를 포함한 선박 모니터링 및 관련 정보교환과 협력에 관한 자발적 성격의 지침임"
Near accident,아차사고 / 준사고,"‘아차사고’란 작업 현장에 작업자의 부주의나 현장 설비 결함 등으로 사고가 일어날 뻔하였으나 직접적인 사고로는 이어지지 않은 상황을 지칭하며, ‘준사고’란 선박의 구조, 설비 또는 운용과 관련하여 시정 또는 개선되지 않으며 선박과 사람의 안전 및 해양환경 등에 위해를 끼칠 수 있는 상황을 뜻함"
UNSP barges,비자항 무인부선,"UNSP(Unmanned Non-Self Propelled) barges, 동력장치가 없는 선박 형태의 바지선"
CI Code,해양사고 조사코드,"CI Code(Code of the international standards and recommended practices for a safety investigation into a marine casualty or marine incident-Casualty investigation code), IMO가 해양사고 조사를 위한 국제 표준 절차로서 공통적 접근법을 제시하기 위한 목적으로 제작됨. ※ 2008년 5월 채택, 2010년 1월 발효 COFI"
OECD,수산위원회,"COFI (Committee for Fisheries), 유엔식량농업기구(FAO), 지역수산관리기구 등에서 국제수산질서를 주도하고 한국, 미국, 유렵연합(EU), 일본 등 FAO 회원국의 수산정책 정보를 교환하며 수산업 발전을 위한 협력 방안을 논의하는 국제적 차원의 위원회 PDCA 데밍사이클 PDCA (Plan-Do-Check-Act), 사업 활동에 있어 결과의 피드백을 통해 이를 수정해 나감으로써 생산 및 품질 등을 관리하는 방법임. 에드워드 데밍(Edward Deming)에 의해 고안되어 통상 데밍 사이클라고 칭함"
CoGP,모범관행규약,"CoGP (The Code of Good Practice), 어떠한 기준 혹은 규칙의 준수와 관련하여 이를 모범적으로 이행하도록 만들어 놓은 규약 선박장거리위치추적(LRIT) LRIT 선박장거리위치추적 LRIT (Long Range Identification and Tracking) 9.11 테러사고를 계기로 국제해사기구(IMO)가 선박에 의한 해상테러 예방 및 해상보안 조치 강화를 위해 도입‧시행(‘09.1)한 제도로 자국 항만(최대 1,000마일 범위)이나 연안에 입‧출항하는 외국적 선박과 국제 항해의 국적 선박의 위치를 추적할 수 있도록 하는 시스템 LRIT Coordinator"
LRIT,조정기구,"당사국의 LRIT 데이터 센터(DC) 구축을 지원하고, 당사국 정부를 대신하여 LRIT 시스템에 대한 감사업무 수행하는 기구임. 현재 LRIT 조정기구 업무는 IMSO(국제이동위성기구)가 수행함 DC"
LRIT,데이터 센터,"DC (Data Center), LRIT 데이터를 수집·저장하고 타 DC와 LRIT 데이터를 교환함. 모든 당사국 정부는 NDC(National LRIT Data Center), RDC(Regional LRIT Data Center) / CDC(Co-operative LRIT Data Center), IDC(International"
LRIT Data Center),중 한 곳을 지정하여야 함,"IDE 국제 LRIT 데이터 교환기 IDE (International LRIT Data Exchange), 각 DC 간 LRIT 데이터 교환의 중계역할을 하며, 상호 데이터 교환목록을 생성함 DDP"
LRIT,데이터 분배 계획,"DDP (LRIT Data Distribution Plan), 각 당사국 정부의 LRIT 데이터 수신범위를 등록하고 관리함. DDP에 있는 각 국가의 지리적 영역 정보에 따라 항만국 또는 연안국으로서 자국 선박의 LRIT 데이터 정보를 원하는 타 국가의 DC로 전송함 OGM"
"OGM (LRIT Operation Governance Body), IDE, IDE",재해복구,"사이트, IMO 사무국의 대표로 구성되며, 전반적인 LRIT 시스템을 관리하며, 시스템의 비상 상황 등이 발생했을 경우 필요한 시스템의 보호 및 복구 조치를 결정함 CTR"
LRIT,적합성 시험 리포트,"CTR (Conformance Test Report), 선박에 설치된 LRIT 설비가"
LRIT,데이터 송신을 위한 요건에 적합한지 아닌지를 확인하기,"위하여 Conformance Test를 수행하고 발행되는 결과 보고서임. 이러한 CTR 발행은 당사국 정부의 지정된 ASP가 수행하여야 함. (MSC.1/Circ.1307 참조) CSP 통신 서비스 제공자 CSP (Communication Service Provider), 선박과 ASP 간 LRIT 데이터 중계를 위한 통신 인프라를 제공함. 주 통신 방법은 위성통신이며 CSP가 ASP 서비스도 같이 공급하기도 함 ASP 운용 서비스 제공자 ASP (Application Service Provider), CSP를 통하여 수신된 선박의 LRIT 자료수집 후 이를 선박의 기국 DC로 송신함. ASP는 상업적 단체(기업)이며, 각 당사국은 자국 선박이 발송하는 LRIT 데이터를 자국 DC로 송신할 ASP를 자체적으로 선택 및 승인함 e-Navigation e-Navigation 차세대 해양 안전 종합관리체계 e-Navigation, 선박운항 기술에 정보통신기술(ICT)을 융·복합하여 각종 해사안전정보를 선박-육상 간 실시간으로 공유하기 위한 체계 CMDS 공통해사데이터구조"
"CMDS (Common Maritime Data Structure), e-Nav",환경에서,"육상-선박, 선박-선박 간 디지털 기반 정보 교환을 위한 교환 표준 D-HF 해상 디지털 HF 통신시스템 D-HF (Digital High Frequency), HF(단파 주파수) 대역을 활용하여 해상안전·보안 및 항해 관련 정보를 고속으로 송·수신할 수 있는 해상 디지털통신 시스템 (최대통달 거리 : 약 500∼1,000km, 최대속도 : 17.2kbps) eLoran 차세대 장거리 무선항법 시스템 eLoran (enhanced-Long Range Navigation) 중장거리 항법 지원 시스템인 로란-C의 서비스 가용성을 유지하면서 정확도, 연속성, 무결성을 개선한 항법 시스템 GICOMS 항행 안전정보 시스템 GICOMS (General Information Center on Maritime Safety), 정보통신기술을 이용하여 운항을 모니터링하고 각종 해양 안전 및 재난 관련 정보를 연계·통합하여 관련 기관 및 단체와 공유·활용함으로써 신속한 사고대응을 위해 위기관리 시스템 HCD 인간중심설계 HCD(Human Central Design), 사용자 중심의 시스템 개발을 위한 설계 방법"
"LTE-M (Long Term Evolution-Maritime), LTE",기술을 통해,"연안 100km 범위까지 데이터 통신이 가능한 무선통신 시스템 MCP 해사정보 공유체계 MCP (Maritime Connectivity Platform), 해사 클라우드와 동일 개념이나, 육상의 클라우드와 혼동되는 관계로 2017년부터 해사 클라우드를 ‘MCP’로 명칭 변경함"
Maritime Cloud,해사 클라우드,"Maritime Cloud, 선박-육상 간 안전하고 원활한 정보(서비스)제공 플랫폼(MIR, MSR, MMS로 구성) MIR 해사 사용자 관리 및 인증체계 MIR (Maritime Identity Registry), MCP 구성요소로서 사용자, 선박 및 조직 등의 모든 해사 이해관계자들을 관리하고 MCP 내의 자원에 대한 액세스를 제어하는데 사용되는 정보제공 시스템 MMS 해사 메시지 관리체계 MMS (Maritime Messaging Service), MCP 구성요소로서, 해사 사용자 위치 및 통신환경 등의 상황에 맞게 안전하고 원활하게 서비스(정보)를 제공할 수 있는 시스템 MSR 해사 서비스 관리 및 인증체계 MSR (Maritime Service Registry), MCP 구성요소로서, MCP에 서비스를 등록, 제공, 검색이 가능하게 하는 시스템 MRN 해사사용자 식별자"
"MRN (Maritime Resource Name), e-Navigation",체계 운영을,위해 전 세계적으로 해사 자원을 유일하게 식별할 수 있는 명명 체계 MS 해사 서비스 MS (Maritime Service) e-Nav를 통해 육상에서 선박으로 제공해야 하는 해사 서비스 목록
PS-LTE,재난안전통신망,PS-LTE (Public Safety-Long Term Evolution)
S-100,범용 표준 수로 정보,"S-100, 서로 다른 기관에서 생산하는 해양 관련 정보를 다양한 응용시스템에서 활용하기 위한 데이터 처리 표준"
Port-MIS,항만운영정보시스템,Port-MIS (Port-Management Information System) 국내 28개 무역항에 대해 항만운영업무 및 민원업무를 종합적으로 처리하기 위한 시스템 – 홈페이지: https://new.portmis.go.kr/
S-Mode,선박 항해 설비 표준화 모드,"S-Mode (Standardized Mode) 선박 항해 장비의 표시 방법, 작동법 등을 표준화하는 방안 SIP 전략이행계획 SIP (Strategy Implementation Plan)"
e-Navigation,구축 및 이행을 위한 실행 계획,VDES
VHF,데이터 교환 시스템,"VDES (VHF Data Exchange System) VHF(초단파 주파수) 대역을 활용하여 해상안전․보안 및 항해 관련 정보를 고속으로 송수신 할 수 있는 해상 디지털통신 시스템, 최대통달거리 : 120km, 최대속도 : 307kbps VMS 선박 모니터링 시스템 VMS (Vessel Monitoring System) 선박의 위치, 이동 경로, 항해 속도 등 해상교통상황을 실시간으로 전자해도 화면상에 모니터링하는 시스템 VTS 해상교통관제시스템"
VTS (Vessel Traffic Service),통항 선박의 동정을 관찰하고 항행 안전 정보를 제공하는 시스템,"GMDSS GMDSS 전 세계 해상 조난 및 안전시스템 GMDSS (Global Maritime Distress and Safety System),"
SOLAS,협약에 따른 해상에서 조난사고 예방과 사고 발생 시 수색과,"구조 활동을 신속히 수행하기 위해 인공위성 중계, 디지털통신, 무선전화, 무선 텔렉스 등을 해상통신 체계에 접목한 전 세계 해상 조난 및 안전제도 DSC 디지털 선택 호출장치 DSC (Digital Selective Calling), 선박에서 조난신호를 송수신할 수 있도록 하는 디지털 코드를 사용하는 기술로서 국제무선자문 위원의 관련 권고에 적합하여야 하며, VHF, MF, MF/HF, HF 무선통신장비에서 사용됨 NBDP 협대역 직접인쇄 전신 NBDP (Narrow Band Direct-Printing), 국제무선자문위원회의 관련 권고에 따르는 자동화된 전신 기술 INMARSAT 국제해사위성기구 INMARSAT (International Maritime Satellite Organization), 1976년 9월 3일 채택된 국제해사위성기구(INMARSAT)에 관한 협약에 따라 설립된 기구. 1999년 영리기업으로 넘어가면서 현재 국제해사위성기구는 IMSO임 MSI 해사안전정보 MSI (Maritime Safety Information), 선박에 송신되는 항해 및 기상경보, 기상예보 및 기타 긴급안전관계 통신 A 1 A1 해역 A1 (Sea area A1), 당사국 정부에 의하여 규정될 수 있는 것으로서 계속적인 DSC 경보를 이용할 수 있는 최소한 하나의 VHF 해안국의 무선전화통신 범위 내의 해역 (통상 20~30마일) A 2 A2 해역 A2 (Sea area A2), 당사국 정부에 의하여 규정될 수 있는 것으로서 계속적인 DSC 경보를 이용할 수 있는 최소한 하나의 MF 해안국의 무선전화통신 범위 내에서 A1해역을 제외한 해역 (통상 100마일) A 3 A3 해역 A3 (Sea area A3), 계속적인 경보를 이용할 수 있는 INMARSAT 정지궤도 위성의 통신 범위 내에서 A1 및 A2 해역을 제외한 해역 (약 70°N~70°S) A 4 A4 해역 A4 (Sea area A4), A1, A2 및 A3 해역 밖의 해역 (남극, 북극 등) MMSI 해상이동업무 식별부호 MMSI (Maritime Mobile Service Identity), 선박국, 해안국 및 집단호출을 식별하기 위하여 사용되는 부호로서, 9개의 숫자로 구성되어 있음. MMSI는 주로 디지털선택호출(DSC), 선박자동식별 장치(AIS), 비상위치지시용 무선표지설비(EPIRB)에서 선박 식별부호로 사용"
VHF Radio,초단파대역 무선통신장비,"VHF Radio (Very High Frequency Radio), 30∼300 MHz 주파수 대역을 사용하는 선박무선 통신장치, 최대통달거리 : 120km"
MF Radio,중파대역 무선통신장비,"MF Radio (Medium Frequency Radio), 300∼3,000kHz 주파수 대역을 사용하는 선박무선 통신장치, 최대통달거리 : 2,000km RR 무선통신규칙 RR (Radio Regulation), 국제전기통신협약에 따른 무선통신 규칙"
HF Radio,단파대역 무선통신장비,"HF Radio (High Frequency Radio), 3∼30 MHz 주파수 대역을 사용하는 선박무선 통신장치, 최대 통달거리 : 500∼1,000km EGC 집단호출제도 EGC (Enhanced Group Calling system), 전 해역 또는 특정 해역의 항행경보, 기상경보와 기상예보 및 육상대 선박의 조난경보를 자동 수신하는 장치"
